pair_id,split,clean_epoch_id,artifact_epoch_id,artifact_type,target_snr_db,method,snr_db,snr_gain_db,rmse,rrmse
699,test,34,emg:34,muscle,5.0,wavelet_only,4.061561803816918,-0.938438196183081,184.49133833757423,0.6265012037951398
699,test,34,emg:34,muscle,5.0,hybrid_wavelet_dae,4.613667923084115,-0.3863320769158838,173.1293407757089,0.5879177927029545
700,test,286,emg:286,muscle,5.0,noisy_input,5.0,0.0,35.56523259717625,0.5623413251903491
700,test,286,emg:286,muscle,5.0,wavelet_only,4.346835185497973,-0.653164814502027,38.342806163657876,0.6062590584969204
700,test,286,emg:286,muscle,5.0,hybrid_wavelet_dae,3.8292027743120434,-1.1707972256879566,40.69729222601015,0.643487124103625
701,test,314,emg:314,muscle,5.0,noisy_input,5.0,0.0,139.22074515671167,0.5623413251903491
701,test,314,emg:314,muscle,5.0,wavelet_only,4.377111176504517,-0.622888823495483,149.57134365345811,0.6041495289075595
701,test,314,emg:314,muscle,5.0,hybrid_wavelet_dae,4.1759010436604225,-0.8240989563395775,153.07663321662125,0.6183081169535165
702,test,547,emg:547,muscle,5.0,noisy_input,5.000000000000001,0.0,147.78460454142956,0.5623413251903491
702,test,547,emg:547,muscle,5.0,wavelet_only,4.905366082921142,-0.09463391707885904,149.4035406123061,0.5685016059470631
702,test,547,emg:547,muscle,5.0,hybrid_wavelet_dae,4.850739556382954,-0.14926044361704704,150.3461169825481,0.572088242368223
703,test,333,emg:333,muscle,5.0,noisy_input,5.0,0.0,147.61939753817393,0.5623413251903491
703,test,333,emg:333,muscle,5.0,wavelet_only,5.3067849872715955,0.30678498727159553,142.49649404949383,0.5428261369109656
703,test,333,emg:333,muscle,5.0,hybrid_wavelet_dae,4.662108843128791,-0.3378911568712093,153.4751216898602,0.584648120464709
704,test,182,emg:182,muscle,5.0,noisy_input,5.0,0.0,106.53712062976936,0.5623413251903491
704,test,182,emg:182,muscle,5.0,wavelet_only,4.81311305855575,-0.18688694144425,108.85422798219446,0.5745718530239212
704,test,182,emg:182,muscle,5.0,hybrid_wavelet_dae,5.294430585959623,0.29443058595962324,102.98629293021712,0.5435987766562295
705,test,49,emg:49,muscle,5.0,noisy_input,5.000000000000001,0.0,161.9933839526125,0.5623413251903491
705,test,49,emg:49,muscle,5.0,wavelet_only,5.57203294612557,0.5720329461255691,151.66858338059194,0.5264999723256262
705,test,49,emg:49,muscle,5.0,hybrid_wavelet_dae,6.122387941886208,1.122387941886207,142.35668971016872,0.4941748087980267
706,test,518,emg:518,muscle,5.0,noisy_input,5.000000000000001,0.0,152.28514687603243,0.5623413251903491
706,test,518,emg:518,muscle,5.0,wavelet_only,4.631999324917646,-0.3680006750823548,158.87573775874327,0.5866783119996276
706,test,518,emg:518,muscle,5.0,hybrid_wavelet_dae,5.180775674419103,0.18077567441910247,149.14845631941165,0.5507585099223697
707,test,102,emg:102,muscle,5.0,noisy_input,5.000000000000001,0.0,119.6797773837622,0.562341325190349
707,test,102,emg:102,muscle,5.0,wavelet_only,4.864357204234754,-0.1356427957652473,121.56342075325576,0.5711920310634929
707,test,102,emg:102,muscle,5.0,hybrid_wavelet_dae,4.865783262055282,-0.134216737944719,121.54346399074315,0.5710982598974432
708,test,41,emg:41,muscle,5.0,noisy_input,5.0,0.0,143.2024645702077,0.5623413251903491
708,test,41,emg:41,muscle,5.0,wavelet_only,5.038564263396551,0.038564263396550835,142.5680728939668,0.5598501344348147
708,test,41,emg:41,muscle,5.0,hybrid_wavelet_dae,5.702670794173178,0.7026707941731782,132.0738849240895,0.5186405394219846
709,test,553,emg:553,muscle,5.0,noisy_input,5.0,0.0,106.37471019110986,0.5623413251903491
709,test,553,emg:553,muscle,5.0,wavelet_only,4.7076814621729755,-0.29231853782702455,110.01561143538053,0.5815886559413519
709,test,553,emg:553,muscle,5.0,hybrid_wavelet_dae,4.982632384376039,-0.01736761562396083,106.58762140915687,0.563466863171034
710,test,366,emg:366,muscle,5.0,noisy_input,5.000000000000001,0.0,99.33180743681655,0.5623413251903491
710,test,366,emg:366,muscle,5.0,wavelet_only,5.502694654436125,0.5026946544361239,93.74618544755988,0.5307197716064288
710,test,366,emg:366,muscle,5.0,hybrid_wavelet_dae,5.3569281093588135,0.3569281093588126,95.3327086159732,0.539701462003417
711,test,534,emg:534,muscle,5.0,noisy_input,5.000000000000001,0.0,45.03570975036371,0.5623413251903491
711,test,534,emg:534,muscle,5.0,wavelet_only,4.741055784112723,-0.25894421588727745,46.39853009090162,0.5793582702000425
711,test,534,emg:534,muscle,5.0,hybrid_wavelet_dae,4.44161695448418,-0.5583830455158205,48.02597204874222,0.5996794302820164
712,test,275,emg:275,muscle,5.0,noisy_input,5.0,0.0,152.09823629813476,0.5623413251903492
712,test,275,emg:275,muscle,5.0,wavelet_only,4.837569507341769,-0.16243049265823117,154.96931120294482,0.5729563336611044
712,test,275,emg:275,muscle,5.0,hybrid_wavelet_dae,4.64808954335642,-0.35191045664358,158.38706126355635,0.5855925229097845
713,test,303,emg:303,muscle,5.0,noisy_input,5.0,0.0,120.54339136795909,0.5623413251903491
713,test,303,emg:303,muscle,5.0,wavelet_only,4.7432510525241955,-0.25674894747580446,124.15975676735762,0.57921186191569
713,test,303,emg:303,muscle,5.0,hybrid_wavelet_dae,4.555188858145273,-0.4448111418547267,126.87731014552448,0.5918893928081886
714,test,113,emg:113,muscle,5.0,noisy_input,4.999999999999999,0.0,112.49587674525444,0.5623413251903491
714,test,113,emg:113,muscle,5.0,wavelet_only,5.76282082663095,0.7628208266309509,103.03755945047789,0.5150613462657899
714,test,113,emg:113,muscle,5.0,hybrid_wavelet_dae,5.487442873730634,0.4874428737306351,106.3566038419811,0.5316524949859339
715,test,437,emg:437,muscle,5.0,noisy_input,5.000000000000001,0.0,174.97430793464906,0.562341325190349
715,test,437,emg:437,muscle,5.0,wavelet_only,5.82370765443493,0.8237076544349291,159.14349874566102,0.5114634659020242
715,test,437,emg:437,muscle,5.0,hybrid_wavelet_dae,6.825247113426584,1.8252471134265829,141.81165608812483,0.4557615089514661
716,test,491,emg:491,muscle,5.0,noisy_input,5.0,0.0,138.62331410514213,0.5623413251903491
716,test,491,emg:491,muscle,5.0,wavelet_only,5.496919047510843,0.49691904751084337,130.9152758177281,0.53107278646623
716,test,491,emg:491,muscle,5.0,hybrid_wavelet_dae,5.942715537028667,0.9427155370286666,124.36566618598411,0.5045035460497094
717,test,526,emg:526,muscle,5.0,noisy_input,4.999999999999998,0.0,114.43759648175268,0.5623413251903491
717,test,526,emg:526,muscle,5.0,wavelet_only,5.293353295929454,0.2933532959294558,110.63717117760574,0.5436662020881114
717,test,526,emg:526,muscle,5.0,hybrid_wavelet_dae,5.143107520554258,0.1431075205542598,112.56758573564534,0.553152174479255
718,test,141,emg:141,muscle,5.0,noisy_input,5.000000000000001,0.0,129.57608015217636,0.5623413251903491
718,test,141,emg:141,muscle,5.0,wavelet_only,4.551192452193716,-0.4488075478062852,136.44738447810647,0.5921617856942611
